"SNo","business_name","date","transaction_no","remarks","account_number","credit","debit","closing_balance"
"1","TCCL1002 - KUMAR CABLE NETWORK ( TNTDNTCCL1002 ) ","2023-08-07 16:59:56","DDL1648454481","Deduction","C1448873","","68.23","3410.29"
"2","TCCL1002 - KUMAR CABLE NETWORK ( TNTDNTCCL1002 ) ","2023-08-07 16:59:56","DDL1648454486","Deduction","C1448873","","28.55","3381.74"
"3","TCCL1002 - KUMAR CABLE NETWORK ( TNTDNTCCL1002 ) ","2023-08-10 15:22:06","TR17921932","Adjustment (credit note for august-2023 life time stb ncf bill(1*35.40)) ","","35.40","","3417.14"
"4","TCCL1002 - KUMAR CABLE NETWORK ( TNTDNTCCL1002 ) ","2023-08-10 15:36:24","DDL1649261065","Deduction","C5714740","","35.40","3381.74"
"5","TCCL1002 - KUMAR CABLE NETWORK ( TNTDNTCCL1002 ) ","2023-08-15 11:30:00","DDL1651983139","Deduction","C2361951","","19.42","3362.32"
"6","TCCL1002 - KUMAR CABLE NETWORK ( TNTDNTCCL1002 ) ","2023-08-15 11:30:00","DDL1651983144","Deduction","C2361951","","46.41","3315.91"
"7","TCCL1002 - KUMAR CABLE NETWORK ( TNTDNTCCL1002 ) ","2023-08-15 11:30:00","DDL1651983149","Deduction","C2361951","","14.85","3301.06"
"8","TCCL1002 - KUMAR CABLE NETWORK ( TNTDNTCCL1002 ) ","2023-08-15 11:30:00","DDL1651983154","Deduction","C2361951","","35.48","3265.58"
"9","TCCL1002 - KUMAR CABLE NETWORK ( TNTDNTCCL1002 ) ","2023-08-15 19:24:08","DDL1652294847","Deduction","C1496001","","19.42","3246.16"
"10","TCCL1002 - KUMAR CABLE NETWORK ( TNTDNTCCL1002 ) ","2023-08-15 19:24:08","DDL1652294862","Deduction","C1496001","","46.41","3199.75"
"11","TCCL1002 - KUMAR CABLE NETWORK ( TNTDNTCCL1002 ) ","2023-08-15 19:24:08","DDL1652294867","Deduction","C1496001","","15.99","3183.76"
"12","TCCL1002 - KUMAR CABLE NETWORK ( TNTDNTCCL1002 ) ","2023-08-15 19:24:08","DDL1652294872","Deduction","C1496001","","38.21","3145.55"
"13","TCCL1002 - KUMAR CABLE NETWORK ( TNTDNTCCL1002 ) ","2023-08-15 19:26:20","DDL1652297146","Deduction","C1459352","","19.42","3126.13"
"14","TCCL1002 - KUMAR CABLE NETWORK ( TNTDNTCCL1002 ) ","2023-08-15 19:26:20","DDL1652297151","Deduction","C1459352","","46.41","3079.72"
"15","TCCL1002 - KUMAR CABLE NETWORK ( TNTDNTCCL1002 ) ","2023-08-16 16:14:45","DDL1652851415","Deduction","C0798097","","5.71","3074.01"
"16","TCCL1002 - KUMAR CABLE NETWORK ( TNTDNTCCL1002 ) ","2023-08-16 16:14:45","DDL1652851420","Deduction","C0798097","","13.65","3060.36"
